"Fish","id","Sex","SL","BD","Spine_1","Spine_1_w_0","Spine_2","Spine_3","Anal_Spine"
"4-126",126,"F",39.72,9.42,3.93333333333333,3.93333333333333,4.66666666666667,1.26666666666667,1.275
"4-127",127,"M",38.76,9.92,3.46666666666667,3.46666666666667,4.13333333333333,1.06666666666667,1.125
"4-128",128,"M",39.64,10.7,3.06666666666667,3.06666666666667,3.6,0.933333333333333,0.925
"4-129",129,"F",39.68,10.36,2.2,2.2,3.6,1,1.15
"4-130",130,"F",42.72,10.32,3.06666666666667,3.06666666666667,4.73333333333333,1.26666666666667,1.2
"4-131",131,"F",37.24,8.78,2.86666666666667,2.86666666666667,3.33333333333333,0.8,0.8
"4-132",132,"M",34.76,8.82,2.93333333333333,2.93333333333333,3.46666666666667,0.666666666666667,NA
"4-133",133,"M",36.42,9.34,2.8,2.8,3.4,0.933333333333333,0.825
"4-134",134,"F",39.1,8.84,2.73333333333333,2.73333333333333,3.73333333333333,0.866666666666667,1
"4-135",135,"M",32.42,8.12,2,2,2.73333333333333,0.6,0.7
"4-136",136,"F",42.16,10.2,2.93333333333333,2.93333333333333,3.73333333333333,1.13333333333333,1.175
"4-137",137,"M",34.96,9.5,2.33333333333333,2.33333333333333,2.8,0.8,0.925
"4-138",138,"F",46.56,11.48,4.26666666666667,4.26666666666667,5.4,1.86666666666667,1.775
"4-139",139,"M",41.56,10.7,2.93333333333333,2.93333333333333,4.13333333333333,1.26666666666667,1.025
"4-140",140,"M",41.88,10.5,3.26666666666667,3.26666666666667,4.13333333333333,1.2,1.15
"4-141",141,"M",35.88,8.7,2.86666666666667,2.86666666666667,3.46666666666667,1,0.9
"4-142",142,"M",43.56,10.56,4.53333333333333,4.53333333333333,4.93333333333333,1.33333333333333,1.475
"4-143",143,"F",37.18,8.56,2.86666666666667,2.86666666666667,3.46666666666667,1.06666666666667,NA
"4-144",144,"M",35.68,8.9,2.6,2.6,NA,1,1.15
"4-145",145,"M",42.4,10,4,4,4.86666666666667,1,NA
"4-146",146,"F",34.6,8.42,2.13333333333333,2.13333333333333,2.86666666666667,0.866666666666667,0.9
"4-147",147,"M",32.44,7.96,2.46666666666667,2.46666666666667,2.93333333333333,0.866666666666667,0.6
"4-148",148,"F",27.22,6.8,1.33333333333333,1.33333333333333,2.26666666666667,0.533333333333333,NA
"4-149",149,"F",45,10.88,3.53333333333333,3.53333333333333,4.33333333333333,1.46666666666667,1.5
"4-150",150,"F",34.24,9.16,2.66666666666667,2.66666666666667,3.53333333333333,0.933333333333333,0.975
"4-151",151,"F",33.1,8.64,2.8,2.8,3.26666666666667,0.8,0.975
"4-152",152,"F",43.18,10.92,3,3,4.2,1,NA
"4-153",153,"M",44.6,11.72,3.26666666666667,3.26666666666667,4.2,1.06666666666667,1.15
"4-154",154,"M",38.96,10.3,2.86666666666667,2.86666666666667,3.46666666666667,0.666666666666667,0.8
"4-155",155,"M",32.72,7.86,2.8,2.8,3.46666666666667,0.8,0.45
"4-156",156,"M",43.38,11.06,3.33333333333333,3.33333333333333,NA,NA,0.825
"4-157",157,"F",44.96,11.58,3.73333333333333,3.73333333333333,4.66666666666667,1,1.25
"4-158",158,"M",41.1,11,2.4,2.4,2.8,0.6,NA
"4-159",159,"F",50.5,12.1,4.06666666666667,4.06666666666667,4.8,1.6,1.4
"4-160",160,"M",43.8,11.1,4.13333333333333,4.13333333333333,4.73333333333333,1.2,1.15
"4-161",161,"M",27.88,7.06,3.86666666666667,3.86666666666667,4.6,1.06666666666667,1.125
"4-162",162,"M",38.6,9.7,2.93333333333333,2.93333333333333,3.73333333333333,1,1.075
"4-163",163,"F",36.88,9.54,3.26666666666667,3.26666666666667,3.93333333333333,1.26666666666667,1.25
"4-164",164,"M",42.74,10.76,NA,0,4.13333333333333,1.06666666666667,0.9
"4-165",165,"F",47.1,11.48,3.73333333333333,3.73333333333333,4.73333333333333,1.26666666666667,1.3
"4-166",166,"F",38.06,9.94,3.4,3.4,4.06666666666667,1.26666666666667,1.375
"4-167",167,"F",42.98,10.16,3.4,3.4,3.8,1.13333333333333,NA
"4-168",168,"M",44.82,11.54,NA,0,3.86666666666667,0.933333333333333,1.125
"4-169",169,"F",41.66,11,3.93333333333333,3.93333333333333,4.6,1.73333333333333,1.525
"4-170",170,"M",37.58,10.02,2.66666666666667,2.66666666666667,3.53333333333333,0.866666666666667,0.8
"4-171",171,"M",40,10.6,3,3,3.66666666666667,0.8,0.85
"4-172",172,"M",41.88,10.24,3.66666666666667,3.66666666666667,4.33333333333333,1.13333333333333,0.875
"4-173",173,"M",41.8,10.76,3.93333333333333,3.93333333333333,4.66666666666667,1.06666666666667,1.15
"4-174",174,"F",39.62,9.58,3.26666666666667,3.26666666666667,3.86666666666667,1,1.3
"4-175",175,"M",37.2,9.96,3.2,3.2,3.6,0.933333333333333,1.05
"4-176",176,"F",43.7,10.6,2.93333333333333,2.93333333333333,3.86666666666667,1.13333333333333,1.2
"4-177",177,"M",33.1,8.22,2.53333333333333,2.53333333333333,3,0.733333333333333,0.825
"4-178",178,"M",40.24,10.72,4.13333333333333,4.13333333333333,4.86666666666667,1.53333333333333,1.65
"4-179",179,"F",34,7.96,2.26666666666667,2.26666666666667,3,0.866666666666667,0.875
"4-180",180,"M",45.8,13.32,3.4,3.4,4.73333333333333,1.26666666666667,1.25
"4-181",181,"F",45.66,11.12,4.33333333333333,4.33333333333333,5.2,1.73333333333333,1.5
"4-182",182,"F",32.9,7.82,2.4,2.4,3.13333333333333,0.666666666666667,0.925
"4-183",183,"M",32.46,8.84,2.86666666666667,2.86666666666667,3.4,0.8,0.95
"4-184",184,"F",36.06,9,2.4,2.4,2.93333333333333,0.666666666666667,NA
"4-185",185,"F",44.68,11.18,3.33333333333333,3.33333333333333,4.2,1.06666666666667,1.15
"4-186",186,"M",40.38,10.54,3.93333333333333,3.93333333333333,4.73333333333333,1.2,1.425
"4-187",187,"F",51.2,13.64,4.06666666666667,4.06666666666667,5.06666666666667,1.33333333333333,NA
"4-188",188,"F",41.8,10.7,3.6,3.6,4.4,1.26666666666667,1.3
"4-189",189,"F",51.48,13.1,3.73333333333333,3.73333333333333,4.8,1.33333333333333,1.475
"4-190",190,"M",36,9.16,3.13333333333333,3.13333333333333,4.13333333333333,1.06666666666667,1.1
"4-191",191,"F",47.86,11.48,4.2,4.2,5,1.4,1.375
"4-192",192,"M",34.72,8.44,2.73333333333333,2.73333333333333,3.33333333333333,0.666666666666667,0.675
"4-193",193,"F",47.68,12.52,3.2,3.2,4.13333333333333,1.2,1.375
"4-194",194,"F",34.5,8.88,3.13333333333333,3.13333333333333,3.93333333333333,1.13333333333333,1.275
"4-195",195,"M",44.16,11.9,NA,0,4.6,1.13333333333333,1.075
"4-196",196,"M",40.54,10.74,3,3,4,0.933333333333333,0.825
"4-197",197,"F",45.38,11.54,3.8,3.8,4.33333333333333,1.26666666666667,1.275
"4-198",198,"M",42.82,10.88,3.46666666666667,3.46666666666667,3.86666666666667,0.933333333333333,0.85
"4-199",199,"F",32.46,8.06,2.46666666666667,2.46666666666667,3.06666666666667,0.666666666666667,0.8
"4-200",200,"F",28.74,7.52,2.26666666666667,2.26666666666667,2.73333333333333,0.8,0.975
"4-201",201,"F",36.58,9.3,3.2,3.2,3.66666666666667,1,1.2
"4-202",202,"F",48.76,12.02,4.2,4.2,4.86666666666667,1.6,1.25
"4-203",203,"F",37.6,9.6,2.73333333333333,2.73333333333333,3.33333333333333,1.13333333333333,0.875
"4-204",204,"F",45.56,11.76,3.46666666666667,3.46666666666667,4.06666666666667,1.06666666666667,1.35
"4-205",205,"F",41.2,10.3,4.26666666666667,4.26666666666667,4.8,1.33333333333333,1.425
"4-206",206,"F",39.78,10.44,2.66666666666667,2.66666666666667,3.73333333333333,1,1.15
"4-207",207,"F",34.7,9.46,2.4,2.4,3.13333333333333,0.733333333333333,0.775
"4-208",208,"M",27.82,6.8,2,2,2.53333333333333,0.666666666666667,0.7
"4-209",209,"M",44.28,11.32,3.93333333333333,3.93333333333333,4.53333333333333,1.2,1.075
"4-210",210,"F",36.48,8.38,3.06666666666667,3.06666666666667,3.66666666666667,1,1.025
"4-211",211,"M",43.9,10.48,NA,0,4.8,1.06666666666667,1.025
"4-212",212,"M",44.48,11.1,2.73333333333333,2.73333333333333,3.6,1.06666666666667,1.05
"4-213",213,"M",47.44,11.34,3,3,4,1,0.975
"4-214",214,"M",34.32,8.78,2.8,2.8,3.53333333333333,0.8,0.75
"4-215",215,"F",47.96,11.6,3.8,3.8,4.73333333333333,1.46666666666667,1.575
"4-216",216,"M",43.94,10.74,3.26666666666667,3.26666666666667,3.86666666666667,1.13333333333333,1.15
"4-217",217,"M",39.88,9.84,2.2,2.2,2.8,0.8,0.775
"4-218",218,"F",36.28,8.48,3.2,3.2,3.66666666666667,1,1.025
"4-219",219,"F",43.76,10.66,3.53333333333333,3.53333333333333,4.13333333333333,1.13333333333333,1.25
"4-220",220,"F",37.34,8.92,2.86666666666667,2.86666666666667,3.8,1,1.05
"4-221",221,"F",38.68,10.46,2.86666666666667,2.86666666666667,3.8,1.26666666666667,1.175
"4-222",222,"F",46.9,12.3,3.06666666666667,3.06666666666667,4.26666666666667,1.26666666666667,1.35
"4-223",223,"M",41.68,10.44,3.33333333333333,3.33333333333333,3.8,1,0.8
"4-224",224,"M",41.86,11.22,3.26666666666667,3.26666666666667,3.8,0.933333333333333,NA
"4-225",225,"F",44.1,10,3.93333333333333,3.93333333333333,4.53333333333333,1.4,1.5
"4-226",226,"F",38.96,10.2,2.93333333333333,2.93333333333333,3.6,1,1.2
"4-227",227,"M",39.96,10.14,3.2,3.2,3.86666666666667,1.06666666666667,1.175
"4-228",228,"F",40.1,10.14,3.13333333333333,3.13333333333333,4.13333333333333,1.4,1.525
"4-229",229,"F",30.34,7.8,2.26666666666667,2.26666666666667,2.6,0.666666666666667,0.75
"4-230",230,"M",43.9,11.92,3.46666666666667,3.46666666666667,4,1.06666666666667,NA
"4-231",231,"F",47.84,11.98,3.93333333333333,3.93333333333333,4.66666666666667,1.46666666666667,1.525
"4-232",232,"F",32.94,7.72,1.93333333333333,1.93333333333333,2.86666666666667,0.866666666666667,1.1
"4-233",233,"F",45.72,10.62,3.46666666666667,3.46666666666667,4.46666666666667,1.13333333333333,1.225
"4-234",234,"F",49.72,11.78,NA,0,4.73333333333333,1.2,1.425
"4-235",235,"F",42.12,10.3,3.6,3.6,4.06666666666667,1.13333333333333,NA
"4-236",236,"M",43.86,11.22,4.13333333333333,4.13333333333333,4.93333333333333,1.26666666666667,0.975
"4-237",237,"F",46.26,11.48,3.66666666666667,3.66666666666667,4.73333333333333,1.4,1.55
"4-238",238,"F",43.34,10.78,3.46666666666667,3.46666666666667,4.73333333333333,1.26666666666667,1.45
"4-239",239,"M",43.3,10.22,3.06666666666667,3.06666666666667,3.8,0.8,0.85
"4-240",240,"F",41.3,10.74,3.26666666666667,3.26666666666667,4.06666666666667,1.13333333333333,1.375
"4-241",241,"F",44.36,12.4,3.4,3.4,4.06666666666667,1,1.275
"4-242",242,"F",43.4,10.66,3.26666666666667,3.26666666666667,4.33333333333333,1.33333333333333,1.275
"4-243",243,"M",42.92,11.06,3.2,3.2,3.86666666666667,1.06666666666667,1.025
"4-244",244,"F",38.84,10.04,2.86666666666667,2.86666666666667,3.93333333333333,1.2,1.225
"4-245",245,"M",41.86,11.42,3.8,3.8,4.6,1.2,1.2
"4-246",246,"F",39.02,10.18,2.66666666666667,2.66666666666667,3.53333333333333,0.933333333333333,0.925
"4-247",247,"F",41.38,10.78,3.66666666666667,3.66666666666667,4.53333333333333,1.26666666666667,1.025
"4-248",248,"M",39.12,9.62,2.93333333333333,2.93333333333333,3.53333333333333,1.06666666666667,1.05
"4-249",249,"M",43.7,10.9,3.53333333333333,3.53333333333333,4.46666666666667,1.2,1.2
"4-250",250,"M",43.1,11.18,NA,0,4.6,1.2,1.275
"4-251",251,"M",41.98,10.5,3.73333333333333,3.73333333333333,4.53333333333333,NA,1.25
"4-252",252,"M",40.3,9.48,4.2,4.2,4.53333333333333,1.2,1.2
"4-253",253,"M",46.4,12.4,3.8,3.8,4.66666666666667,1.2,1.325
"4-254",254,"M",42.38,10.48,3.4,3.4,3.93333333333333,0.8,NA
"4-255",255,"M",44.16,11.58,2.8,2.8,3.86666666666667,0.866666666666667,0.825
"4-256",256,"F",40.34,9.88,3.26666666666667,3.26666666666667,4,1.06666666666667,1.15
"4-257",257,"M",38.14,10.72,4,4,4.66666666666667,1.26666666666667,1.05
"4-258",258,"F",43.34,10.7,3.73333333333333,3.73333333333333,4.6,1.33333333333333,1.475
"4-259",259,"F",41.56,9.88,4.13333333333333,4.13333333333333,4.93333333333333,1.4,1.4
"4-260",260,"F",34.98,8.46,2.86666666666667,2.86666666666667,3.66666666666667,1.06666666666667,1.125
"4-261",261,"M",37.58,9.24,2.73333333333333,2.73333333333333,3.2,0.8,0.975
"4-262",262,"M",43.46,11.46,3.73333333333333,3.73333333333333,4.53333333333333,1.06666666666667,1.275
"4-263",263,"M",39.02,10.8,2.8,2.8,3.46666666666667,0.933333333333333,0.925
"4-264",264,"F",38.58,9.76,3.66666666666667,3.66666666666667,4.26666666666667,1.46666666666667,1.375
"4-265",265,"F",42.34,11.48,3.8,3.8,4.6,1.53333333333333,1.475
"4-266",266,"F",29.56,6.96,1.53333333333333,1.53333333333333,2.46666666666667,0.666666666666667,0.725
"4-267",267,"F",43.68,10.5,3.46666666666667,3.46666666666667,4.6,1.33333333333333,1.175
"4-268",268,"M",34.22,9.02,2.6,2.6,3.06666666666667,0.6,0.7
"4-269",269,"M",38.52,9.62,3.13333333333333,3.13333333333333,3.66666666666667,1.13333333333333,1
"4-270",270,"M",51.58,13.04,5.46666666666667,5.46666666666667,6.06666666666667,1.46666666666667,1.35
"4-271",271,"F",48.86,12.26,4.6,4.6,5.73333333333333,1.93333333333333,1.725
"4-272",272,"F",45.64,11.36,3.33333333333333,3.33333333333333,4.26666666666667,1.33333333333333,1.5
"4-273",273,"F",44.46,11.3,4.4,4.4,5.2,1.66666666666667,1.525
"4-274",274,"F",47.08,11.36,4.53333333333333,4.53333333333333,5.8,1.86666666666667,1.875
"4-275",275,"M",45.34,11.5,3.46666666666667,3.46666666666667,3.93333333333333,1,0.975
"4-276",276,"F",47.6,11.68,2.86666666666667,2.86666666666667,4.93333333333333,1.73333333333333,1.625
"4-277",277,"M",28.72,7.88,2.26666666666667,2.26666666666667,2.66666666666667,0.733333333333333,0.8
"4-278",278,"F",39.62,10.08,2.8,2.8,3.4,1,1.025
"4-279",279,"F",45.66,12,3.33333333333333,3.33333333333333,4.73333333333333,1.46666666666667,1.675
"4-280",280,"F",46.28,11.48,3.2,3.2,4,1.2,1.2
"4-281",281,"F",41.26,10.1,2.53333333333333,2.53333333333333,3.13333333333333,1.13333333333333,1.25
"4-282",282,"F",43.04,10.4,3.06666666666667,3.06666666666667,4.13333333333333,1.06666666666667,1.1
"4-283",283,"M",29.68,7.92,2.06666666666667,2.06666666666667,2.53333333333333,NA,NA
"4-284",284,"F",39,9.96,2.66666666666667,2.66666666666667,3.66666666666667,1.13333333333333,1.2
"4-285",285,"M",34.02,8.58,2.66666666666667,2.66666666666667,3.4,0.8,NA
"4-286",286,"M",28.76,6.58,2.06666666666667,2.06666666666667,2.46666666666667,0.533333333333333,NA
"4-287",287,"F",38.98,9.4,2.73333333333333,2.73333333333333,3.33333333333333,1,1.275
"4-288",288,"F",39.2,9.5,2.6,2.6,3.13333333333333,0.933333333333333,0.975
"4-289",289,"F",48.46,11.94,4.2,4.2,5.13333333333333,1.6,1.55
"4-290",290,"F",42.2,11.38,2.46666666666667,2.46666666666667,3.33333333333333,1.2,1.175
"4-291",291,"M",46.44,10.98,NA,0,4.86666666666667,1.26666666666667,1.45
"4-292",292,"F",34.74,8.42,2.93333333333333,2.93333333333333,3.2,0.933333333333333,NA
"4-293",293,"F",47.48,12.18,3.73333333333333,3.73333333333333,4.4,1.26666666666667,1.45
